node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
SQSTM1,10416.0,0.50357,20.0,20.0,56.992,2.0,0.19365,60.01667,7.40194,480.31614,3774.0,0.43158,
TBP,2.0,0.0,1.0,2.0,3.834,2.0,0.13832,30.01905,5.48944,240.0,910.0,0.0,
CHCHD2,26.0,0.56839,4.0,6.0,38.511,2.0,0.16138,47.71667,6.96183,211.89435,1042.0,0.4,
TMEM230,2.0,0.0,1.0,2.0,13.53,1.0,0.13832,35.20952,6.0816,2.03333,6.0,0.0,
FIG4,3122.0,0.63848,10.0,10.0,49.173,1.0,0.16138,46.9,6.75377,32.67973,140.0,0.71111,
TUBA4A,3.0,0.30779,2.0,3.0,24.473,1.0,0.16138,44.08333,6.80979,1.85352,36.0,0.33333,
SPAST,3.0,0.30779,2.0,3.0,14.679,1.0,0.16138,39.01667,6.38567,107.33358,312.0,0.33333,
CLN3,1.0,0.0,1.0,1.0,3.263,1.0,0.13832,28.61905,5.41742,0.0,0.0,0.0,
DNAJC5,2.0,0.0,1.0,2.0,9.926,2.0,0.16138,37.61667,6.37767,240.0,864.0,0.0,
COMT,27.0,0.45378,5.0,6.0,25.096,2.0,0.16138,41.75,6.54572,74.80364,308.0,0.46667,
DRD3,2.0,0.30779,2.0,2.0,13.54,1.0,0.16138,36.9,6.27365,0.0,0.0,1.0,
TH,126.0,0.39905,10.0,12.0,38.636,3.0,0.16138,52.6,7.13787,774.49986,4168.0,0.30303,
DDC,50.0,0.47549,6.0,6.0,26.21,2.0,0.16138,41.16667,6.4817,20.14655,110.0,0.66667,
MAOB,102.0,0.49567,8.0,8.0,38.85,1.0,0.19365,51.1,7.14587,149.99748,1356.0,0.60714,
COQ2,2.0,0.0,1.0,2.0,12.947,2.0,0.16138,42.08333,6.70576,240.0,606.0,0.0,
NUS1,1.0,0.0,1.0,1.0,3.329,1.0,0.13832,31.06905,5.74551,0.0,0.0,0.0,
CSF1R,3.0,0.0,1.0,3.0,12.52,2.0,0.13832,36.78571,6.17762,92.84531,506.0,0.0,
PDGFB,2.0,0.0,1.0,2.0,5.555,1.0,0.13832,30.75238,5.55346,3.3,10.0,0.0,
DCTN1,3000.0,0.71599,9.0,9.0,48.357,1.0,0.16138,48.41667,6.92182,12.0443,218.0,0.83333,
GCH1,6.0,0.30898,3.0,5.0,15.629,1.0,0.13832,38.49286,6.25764,50.91429,128.0,0.3,
SLC18A2,72.0,0.57059,6.0,6.0,30.535,1.0,0.16138,47.46667,6.96983,18.59195,212.0,0.8,
DNAJB6,1.0,0.0,1.0,1.0,10.209,1.0,0.16138,36.95,6.36167,0.0,0.0,0.0,
DNM1L,240.0,0.66569,6.0,6.0,42.147,1.0,0.16138,48.25,6.99383,1.78192,24.0,0.93333,
MFN2,362.0,0.55399,8.0,8.0,48.618,1.0,0.16138,50.58333,7.07386,50.73471,682.0,0.67857,
HTRA2,2166.0,0.64439,9.0,9.0,48.907,1.0,0.19365,53.56667,7.28991,80.3908,756.0,0.75,
LAMP2,7.0,0.2842,4.0,5.0,32.364,2.0,0.19365,48.63333,7.07386,256.34735,906.0,0.3,
FTL,2.0,0.30779,2.0,2.0,14.592,1.0,0.13832,38.42619,6.32966,0.0,0.0,1.0,
SPR,2.0,0.30779,2.0,2.0,9.822,1.0,0.13832,36.65952,6.21763,0.0,0.0,1.0,
SGCE,4.0,0.30898,3.0,3.0,6.602,1.0,0.13832,35.05952,6.05759,5.19048,16.0,0.66667,
HCRT,1.0,0.0,1.0,1.0,8.396,1.0,0.13832,35.65952,6.17762,0.0,0.0,0.0,
PDGFRB,4.0,0.0,1.0,4.0,13.775,2.0,0.16138,38.95,6.37767,180.04929,842.0,0.0,
PRKAG2,1.0,0.0,1.0,1.0,7.664,1.0,0.16138,34.28333,6.1136,0.0,0.0,0.0,
SNCAIP,146.0,0.51223,7.0,7.0,42.534,1.0,0.19365,50.6,7.14587,18.48443,152.0,0.66667,
SNCB,8.0,0.37893,4.0,4.0,31.218,1.0,0.19365,47.85,7.05785,2.28675,28.0,0.66667,
MT-ND1,8.0,0.37893,4.0,4.0,25.965,1.0,0.16138,44.25,6.78578,9.39237,40.0,0.66667,
MT-ND6,7.0,0.46346,3.0,4.0,26.085,1.0,0.16138,46.28333,6.88981,22.54048,102.0,0.5,
MT-ND5,6.0,0.46346,3.0,3.0,18.099,1.0,0.16138,42.53333,6.69776,0.0,0.0,1.0,
MYORG,1.0,0.0,1.0,1.0,1.644,1.0,0.10758,23.71111,4.46517,0.0,0.0,0.0,
SLC20A2,2.0,0.0,1.0,2.0,3.024,2.0,0.12103,29.59405,5.42542,240.0,980.0,0.0,
NOTCH3,3.0,0.30779,2.0,3.0,19.102,1.0,0.16138,40.15,6.51371,35.85219,228.0,0.33333,
