node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
SPG11,1,0,1,2,5.176,1,0.11847,33.43095,6.47637,0,0,0
TRPV4,1,0,1,2,1.147,1,0.01493,1,0.04478,0,0,0
PKD1,1,0,1,2,1.147,1,0.01493,1,0.04478,0,0,0
PANK2,1,0,1,2,4.776,1,0.11847,33.43095,6.47637,0,0,0
NDRG1,1,0,1,2,6.717,1,0.11847,39.47143,7.02547,0,0,0
NAGLU,1,0,1,2,4.288,1,0.15796,34.75,6.78477,0,0,0
KIF1B,1,0,1,2,5.716,1,0.11847,34.33095,6.58167,0,0,0
SLC17A5,1,0,1,2,1.334,1,0.11847,26.59167,5.5963,0,0,0
PLP1,1,0,1,2,5.66,1,0.10531,36.80357,6.85246,0,0,0
POLG,1,0,1,2,1.249,1,0.09478,18.9996,3.47512,0,0,0
GAA,1,0,1,2,3.211,1,0.10531,30.27063,6.01753,0,0,0
SLC37A4,1,0,1,2,1.467,1,0.09478,21.15476,4.07688,0,0,0
CYP27A1,1,0,1,2,1.556,1,0.09478,25.89087,5.37065,0,0,0
ATP7B,1,0,1,2,1.998,1,0.10531,30.62024,6.26575,0,0,0
SCN9A,1,0,1,2,1.531,1,0.10531,24.74841,4.97951,0,0,0
CEP290,1,0,1,2,1.175,1,0.01493,1,0.04478,0,0,0
ABCA4,1,0,1,2,1.175,1,0.01493,1,0.04478,0,0,0
